"problem_id","KC"
"1","Data types"
"10","Data types"
"100","Independent Events"
"101","Mutually Exclusive Events"
"102","Mutually Exclusive Events"
"103","Mutually Exclusive Events"
"104","Probability overview"
"105","Probability overview"
"106","Probability overview"
"107","Law of Complements"
"108","Law of Complements"
"109","Law of Complements"
"11","Data types"
"110","Conditional Probability"
"111","Conditional Probability"
"112","Conditional Probability"
"113","Mutually Exclusive Events"
"114","Mutually Exclusive Events"
"115","Mutually Exclusive Events"
"116","Law of Total Probability"
"117","Law of Total Probability"
"118","Law of Total Probability"
"119","Law of Total Probability"
"12","Data types"
"120","Bayes Theorem"
"121","Bayes Theorem"
"122","Bayes Theorem"
"123","Bayes Theorem"
"124","Bayes Theorem"
"125","Bayes Theorem"
"126","Bayes Theorem"
"127","Bayes Theorem"
"128","Bayes Theorem"
"129","Bayes Theorem"
"13","Data types"
"130","Bayes Theorem"
"131","Bayes Theorem"
"132","Bayes Theorem"
"133","Bayes Theorem"
"134","Bayes Theorem"
"135","Bayes Theorem"
"136","Conditional Probability"
"137","Conditional Probability"
"138","Conditional Probability"
"139","Conditional Probability"
"14","Data types"
"140","Law of Total Probability"
"141","Law of Total Probability"
"142","Law of Total Probability"
"143","Law of Total Probability"
"144","Conditional Probability"
"145","Conditional Probability"
"146","Conditional Probability"
"147","Conditional Probability"
"148","Discrete Random Variables"
"149","Discrete Random Variables"
"15","Data types"
"150","Discrete Random Variables"
"151","Continuous Random Variables"
"152","Discrete Random Variables"
"153","Continuous Random Variables"
"154","Continuous Random Variables"
"155","Continuous Random Variables"
"156","Continuous Random Variables"
"157","Discrete Random Variables"
"158","Discrete Random Variables"
"159","Normal Random Variable"
"16","Data types"
"160","Normal Random Variable"
"161","Normal Random Variable"
"162","Descriptive Stats--Discrete Random Variable"
"163","Descriptive Stats--Discrete Random Variable"
"164","Descriptive Stats--Discrete Random Variable"
"165","Descriptive Stats--Discrete Random Variable"
"166","Descriptive Stats--Discrete Random Variable"
"167","Descriptive Stats--Discrete Random Variable"
"168","Descriptive Stats--Discrete Random Variable"
"169","Descriptive Stats--Discrete Random Variable"
"17","Histograms and Skewness"
"170","Descriptive Stats--Discrete Random Variable"
"171","Descriptive Stats--Discrete Random Variable"
"172","Descriptive Stats--Discrete Random Variable"
"173","Descriptive Stats--Discrete Random Variable"
"174","Descriptive Stats--Discrete Random Variable"
"175","Descriptive Stats--Discrete Random Variable"
"176","Descriptive Stats--Discrete Random Variable"
"177","Mean of Sum of Random Variables"
"178","Mean of Sum of Random Variables"
"179","Mean of Sum of Random Variables"
"18","Histograms and Skewness"
"180","Binomial "
"181","Binomial "
"182","Binomial "
"183","Binomial "
"184","Binomial "
"185","Binomial "
"186","Binomial "
"187","Binomial "
"188","Binomial "
"189","Binomial "
"19","Descriptive Stats"
"190","Binomial "
"191","Binomial "
"192","Binomial "
"193","Binomial "
"194","Binomial "
"195","Poisson Probabilities"
"196","Poisson Probabilities"
"197","Poisson Probabilities"
"198","Poisson Probabilities"
"199","Poisson Probabilities"
"2","Data types"
"20","Descriptive Stats"
